Id,Label,timeset,modularity_class
rnJWQ16oS4e72TP74vVTaCGahRsoW7BzAr,rnJWQ16oS4e72TP74vVTaCGahRsoW7BzAr,,0
r9woV4G76zCFnN6sSAhEWQwKs9R6M1xkc7,r9woV4G76zCFnN6sSAhEWQwKs9R6M1xkc7,,0
rLyLytLDAyhRZPHkauHgyECZ8GCn1V4Gir,rLyLytLDAyhRZPHkauHgyECZ8GCn1V4Gir,,0
rMN5jb9HAgwRwtAdNmdoq3BiunsBBXHC3N,rMN5jb9HAgwRwtAdNmdoq3BiunsBBXHC3N,,0
rLF7xPrQESymntoVGR9Fvni9Fo6n7q8SUe,rLF7xPrQESymntoVGR9Fvni9Fo6n7q8SUe,,0
rwFuoD73DsAzwHZcL9FFoLGKoWBDR6UEAm,rwFuoD73DsAzwHZcL9FFoLGKoWBDR6UEAm,,0
rsk8FyS3RsyCDeAE8mJ5Zx4LGXqwjfywFZ,rsk8FyS3RsyCDeAE8mJ5Zx4LGXqwjfywFZ,,0
rhrxRsAvfU3acSvuPjkMJrKj5N6pDdhQpY,rhrxRsAvfU3acSvuPjkMJrKj5N6pDdhQpY,,0
rMvWhoq3bYME1SHVSiZBgQ4vYk8iGSPHpw,rMvWhoq3bYME1SHVSiZBgQ4vYk8iGSPHpw,,0
rJm3aeJ7kVM5sJ9R35oYE7KCRRyHM4GKTz,rJm3aeJ7kVM5sJ9R35oYE7KCRRyHM4GKTz,,0
rH78mUcdJAxJhAHanASuP1PehUQf2J5Ce9,rH78mUcdJAxJhAHanASuP1PehUQf2J5Ce9,,0
rpiLQ1AtoSEWWAuUkm7SZRRs1v4WujSgUa,rpiLQ1AtoSEWWAuUkm7SZRRs1v4WujSgUa,,0
rMJzgsigoTcwfJWbVEcRJb8hF7UuQ4cQjU,rMJzgsigoTcwfJWbVEcRJb8hF7UuQ4cQjU,,0
rPwud9rB2Z7eWcUFiPnppEYf6kRtjUcy8w,rPwud9rB2Z7eWcUFiPnppEYf6kRtjUcy8w,,0
rBsg3xPTUuKr7kU7g4n31Nz8k9BE5SDA5j,rBsg3xPTUuKr7kU7g4n31Nz8k9BE5SDA5j,,0
rN25vjpbbJPdg8YYX7SzxQuouUy1F8Gjp4,rN25vjpbbJPdg8YYX7SzxQuouUy1F8Gjp4,,0
rNhGvsDchW9pch7YSMPjCDMcjiFLrVdQZg,rNhGvsDchW9pch7YSMPjCDMcjiFLrVdQZg,,0
rErk2tiqmHG9sdK5BwhWHLhbnAP6oCjctm,rErk2tiqmHG9sdK5BwhWHLhbnAP6oCjctm,,0
rsBYQ82giNGuNFBitD8Tkgnp3zcaPkjcUN,rsBYQ82giNGuNFBitD8Tkgnp3zcaPkjcUN,,0
rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,rUzWJkXyEtT8ekSSxkBYPqCvHpngcy6Fks,,0
rPDRERNEmyCAAzGsCVEdjtAw2NqYMipGqg,rPDRERNEmyCAAzGsCVEdjtAw2NqYMipGqg,,0
rGw38VyP1hM71d7wZgvF6NX9Smdoe81rwe,rGw38VyP1hM71d7wZgvF6NX9Smdoe81rwe,,0
rHou4zyuYRjrJSj5MajamKJJnVay9HfRk5,rHou4zyuYRjrJSj5MajamKJJnVay9HfRk5,,0
rNR2TfXsAqFhmN7Fvt3LE1yyv5yfwx23iJ,rNR2TfXsAqFhmN7Fvt3LE1yyv5yfwx23iJ,,0
rHarZNCH5aR2E1AdvvLzRsoEysrjznb4Hh,rHarZNCH5aR2E1AdvvLzRsoEysrjznb4Hh,,0
rsUfNakD5fAfshBALeReY2NxwgtKxCuqNT,rsUfNakD5fAfshBALeReY2NxwgtKxCuqNT,,0
rB7jZw8xK4FBJXPZEd2WHxBcsbzmUT1Wgb,rB7jZw8xK4FBJXPZEd2WHxBcsbzmUT1Wgb,,0
rBqEK4rmqXnSWtebAp8eS4t6LrzBQLNGmQ,rBqEK4rmqXnSWtebAp8eS4t6LrzBQLNGmQ,,0
r4FXu2GLsbDLG6sWvtZVReai7LLCP9kpdq,r4FXu2GLsbDLG6sWvtZVReai7LLCP9kpdq,,0
rakJGYLQ4T3YGP3rHhzNWGNpP8oXW5VPmq,rakJGYLQ4T3YGP3rHhzNWGNpP8oXW5VPmq,,0
rfiTLXJEFYwYrYNV4qQvov1kpdRxuDv1nX,rfiTLXJEFYwYrYNV4qQvov1kpdRxuDv1nX,,0
rNqZebZthkMUezJxVxeLy9zq8USwv4XqmV,rNqZebZthkMUezJxVxeLy9zq8USwv4XqmV,,0
rhmmTeVtAbU19BQNyiSqxJaGQxJV7UMPVS,rhmmTeVtAbU19BQNyiSqxJaGQxJV7UMPVS,,0
rNPstjDkQCq5VQMd3W81mYiiQhDbQ9ZV3i,rNPstjDkQCq5VQMd3W81mYiiQhDbQ9ZV3i,,0
rDXgWPRJjVHhVqbKf7vWa8eFgv3Gy5g2hU,rDXgWPRJjVHhVqbKf7vWa8eFgv3Gy5g2hU,,0
rB3jVDiHCBLWG5Pdvnj2NnPcGpzoSzuEDt,rB3jVDiHCBLWG5Pdvnj2NnPcGpzoSzuEDt,,0
